index,angle,doppler,frequency,inventory_prob,m,orientation,q,read_tid_prob,rounds_per_tag,speed,tari,trext
51,0.5235987755982988,True,860000000.0,0.7504,M2,back,2,0.411,8.4692,125.0,1.25e-05,True
52,0.5235987755982988,True,860000000.0,0.7996,M4,front,2,0.4808,5.3488,125.0,1.25e-05,True
53,0.5235987755982988,True,860000000.0,0.8324,M4,back,2,0.5136,5.2208,125.0,1.25e-05,True
54,0.5235987755982988,True,860000000.0,0.8294,M8,front,2,0.4266,3.2308,125.0,1.25e-05,True
55,0.5235987755982988,True,860000000.0,0.8456,M8,back,2,0.4762,3.1608,125.0,1.25e-05,True
56,0.5235987755982988,True,860000000.0,0.545,FM0,front,2,0.1884,12.418,127.5,1.25e-05,True
57,0.5235987755982988,True,860000000.0,0.5526,FM0,back,2,0.187,12.3568,127.5,1.25e-05,True
58,0.5235987755982988,True,860000000.0,0.7156,M2,front,2,0.3978,8.3804,127.5,1.25e-05,True
59,0.5235987755982988,True,860000000.0,0.7418,M2,back,2,0.3966,8.3504,127.5,1.25e-05,True
60,0.5235987755982988,True,860000000.0,0.7832,M4,front,2,0.4702,5.1972,127.5,1.25e-05,True
61,0.5235987755982988,True,860000000.0,0.8252,M4,back,2,0.5008,5.1542,127.5,1.25e-05,True
62,0.5235987755982988,True,860000000.0,0.8078,M8,front,2,0.4178,3.1332,127.5,1.25e-05,True
63,0.5235987755982988,True,860000000.0,0.842,M8,back,2,0.4714,3.1178,127.5,1.25e-05,True
64,0.5235987755982988,True,860000000.0,0.8358,M4,front,2,0.5376,12.1658,110.0,6.25e-06,True
65,0.5235987755982988,True,860000000.0,0.8342,M4,back,2,0.5398,11.8214,110.0,6.25e-06,True
66,0.5235987755982988,True,860000000.0,0.8854,M4,front,2,0.5352,4.129,110.0,1.875e-05,True
67,0.5235987755982988,True,860000000.0,0.8816,M4,back,2,0.5222,4.0314,110.0,1.875e-05,True
68,0.5235987755982988,True,860000000.0,0.861,M4,front,2,0.4768,3.1878,110.0,2.5e-05,True
69,0.5235987755982988,True,860000000.0,0.8576,M4,back,2,0.4794,3.1878,110.0,2.5e-05,True
70,0.5235987755982988,True,860000000.0,0.819,M4,front,2,0.5258,11.976,112.5,6.25e-06,True
71,0.5235987755982988,True,860000000.0,0.8332,M4,back,2,0.528,11.5684,112.5,6.25e-06,True
72,0.5235987755982988,True,860000000.0,0.8664,M4,front,2,0.5056,4.0208,112.5,1.875e-05,True
73,0.5235987755982988,True,860000000.0,0.862,M4,back,2,0.5022,3.968,112.5,1.875e-05,True
74,0.5235987755982988,True,860000000.0,0.8476,M4,front,2,0.4656,3.1316,112.5,2.5e-05,True
75,0.5235987755982988,True,860000000.0,0.8454,M4,back,2,0.4594,3.1018,112.5,2.5e-05,True
76,0.5235987755982988,True,860000000.0,0.8206,M4,front,2,0.522,11.72,115.0,6.25e-06,True
77,0.5235987755982988,True,860000000.0,0.8204,M4,back,2,0.515,11.376,115.0,6.25e-06,True
78,0.5235987755982988,True,860000000.0,0.8498,M4,front,2,0.4948,3.9496,115.0,1.875e-05,True
79,0.5235987755982988,True,860000000.0,0.8596,M4,back,2,0.4982,3.91,115.0,1.875e-05,True
80,0.5235987755982988,True,860000000.0,0.8462,M4,front,2,0.4612,3.076,115.0,2.5e-05,True
81,0.5235987755982988,True,860000000.0,0.8352,M4,back,2,0.4372,3.045,115.0,2.5e-05,True
82,0.5235987755982988,True,860000000.0,0.7986,M4,front,2,0.5026,11.5024,117.5,6.25e-06,True
83,0.5235987755982988,True,860000000.0,0.8212,M4,back,2,0.517,11.139,117.5,6.25e-06,True
84,0.5235987755982988,True,860000000.0,0.8562,M4,front,2,0.4894,3.8928,117.5,1.875e-05,True
85,0.5235987755982988,True,860000000.0,0.8488,M4,back,2,0.4882,3.7962,117.5,1.875e-05,True
86,0.5235987755982988,True,860000000.0,0.8302,M4,front,2,0.442,3.027,117.5,2.5e-05,True
87,0.5235987755982988,True,860000000.0,0.8332,M4,back,2,0.4416,3.0296,117.5,2.5e-05,True
88,0.5235987755982988,True,860000000.0,0.7858,M4,front,2,0.4812,11.2188,120.0,6.25e-06,True
89,0.5235987755982988,True,860000000.0,0.8062,M4,back,2,0.5086,10.8136,120.0,6.25e-06,True
90,0.5235987755982988,True,860000000.0,0.8262,M4,front,2,0.464,3.879,120.0,1.875e-05,True
91,0.5235987755982988,True,860000000.0,0.8298,M4,back,2,0.4726,3.7742,120.0,1.875e-05,True
92,0.5235987755982988,True,860000000.0,0.8204,M4,front,2,0.4336,2.9956,120.0,2.5e-05,True
93,0.5235987755982988,True,860000000.0,0.8204,M4,back,2,0.426,2.9308,120.0,2.5e-05,True
94,0.5235987755982988,True,860000000.0,0.773,M4,front,2,0.4804,10.9108,122.5,6.25e-06,True
95,0.5235987755982988,True,860000000.0,0.7948,M4,back,2,0.4888,10.7118,122.5,6.25e-06,True
96,0.5235987755982988,True,860000000.0,0.8214,M4,front,2,0.4616,3.8042,122.5,1.875e-05,True
97,0.5235987755982988,True,860000000.0,0.8334,M4,back,2,0.4554,3.6798,122.5,1.875e-05,True
98,0.5235987755982988,True,860000000.0,0.7926,M4,front,2,0.4062,2.9472,122.5,2.5e-05,True
99,0.5235987755982988,True,860000000.0,0.8128,M4,back,2,0.4286,2.8822,122.5,2.5e-05,True
100,0.5235987755982988,True,860000000.0,0.763,M4,front,2,0.477,10.6254,125.0,6.25e-06,True
101,0.5235987755982988,True,860000000.0,0.7926,M4,back,2,0.4874,10.5866,125.0,6.25e-06,True
102,0.5235987755982988,True,860000000.0,0.7852,M4,front,2,0.4288,3.6892,125.0,1.875e-05,True
103,0.5235987755982988,True,860000000.0,0.8206,M4,back,2,0.451,3.6112,125.0,1.875e-05,True
104,0.5235987755982988,True,860000000.0,0.7912,M4,front,2,0.4012,2.895,125.0,2.5e-05,True
105,0.5235987755982988,True,860000000.0,0.81,M4,back,2,0.4112,2.8424,125.0,2.5e-05,True
106,0.5235987755982988,True,860000000.0,0.7518,M4,front,2,0.4686,10.3248,127.5,6.25e-06,True
107,0.5235987755982988,True,860000000.0,0.7766,M4,back,2,0.4724,10.1706,127.5,6.25e-06,True
108,0.5235987755982988,True,860000000.0,0.7928,M4,front,2,0.4204,3.6164,127.5,1.875e-05,True
109,0.5235987755982988,True,860000000.0,0.806,M4,back,2,0.4366,3.5754,127.5,1.875e-05,True
110,0.5235987755982988,True,860000000.0,0.7724,M4,front,2,0.3798,2.8272,127.5,2.5e-05,True
111,0.5235987755982988,True,860000000.0,0.8028,M4,back,2,0.4124,2.8362,127.5,2.5e-05,True
112,0.5235987755982988,False,860000000.0,0.937,M4,front,2,0.6696,7.1968,110.0,1.25e-05,True
113,0.5235987755982988,False,860000000.0,0.9392,M4,back,2,0.678,7.0738,110.0,1.25e-05,True
114,0.5235987755982988,False,860000000.0,0.9364,M4,front,2,0.654,7.0506,112.5,1.25e-05,True
115,0.5235987755982988,False,860000000.0,0.9398,M4,back,2,0.6674,6.935,112.5,1.25e-05,True
116,0.5235987755982988,False,860000000.0,0.9312,M4,front,2,0.6514,6.9676,115.0,1.25e-05,True
117,0.5235987755982988,False,860000000.0,0.94,M4,back,2,0.6678,6.817,115.0,1.25e-05,True
118,0.5235987755982988,False,860000000.0,0.9374,M4,front,2,0.6472,6.7486,117.5,1.25e-05,True
119,0.5235987755982988,False,860000000.0,0.9448,M4,back,2,0.6592,6.6596,117.5,1.25e-05,True
120,0.5235987755982988,False,860000000.0,0.935,M4,front,2,0.6428,6.6536,120.0,1.25e-05,True
121,0.5235987755982988,False,860000000.0,0.939,M4,back,2,0.6524,6.475,120.0,1.25e-05,True
122,0.5235987755982988,False,860000000.0,0.9318,M4,front,2,0.6366,6.4516,122.5,1.25e-05,True
123,0.5235987755982988,False,860000000.0,0.9394,M4,back,2,0.6498,6.3966,122.5,1.25e-05,True
124,0.5235987755982988,False,860000000.0,0.9256,M4,front,2,0.6334,6.2734,125.0,1.25e-05,True
125,0.5235987755982988,False,860000000.0,0.9378,M4,back,2,0.6436,6.303,125.0,1.25e-05,True
126,0.5235987755982988,False,860000000.0,0.929,M4,front,2,0.6318,6.2096,127.5,1.25e-05,True
127,0.5235987755982988,False,860000000.0,0.935,M4,back,2,0.6448,6.1578,127.5,1.25e-05,True
