index,angle,doppler,frequency,inventory_prob,m,orientation,q,read_tid_prob,rounds_per_tag,speed,tari,trext
0,0.5235987755982988,True,860000000.0,0.7512,FM0,front,2,0.3192,23.771,70.0,1.25e-05,True
1,0.5235987755982988,True,860000000.0,0.7632,FM0,back,2,0.3274,23.1022,70.0,1.25e-05,True
2,0.5235987755982988,True,860000000.0,0.8914,M2,front,2,0.629,15.4238,70.0,1.25e-05,True
3,0.5235987755982988,True,860000000.0,0.9098,M2,back,2,0.6224,15.0932,70.0,1.25e-05,True
4,0.5235987755982988,True,860000000.0,0.9368,M4,front,2,0.761,9.25,70.0,1.25e-05,True
5,0.5235987755982988,True,860000000.0,0.951,M4,back,2,0.7674,9.0582,70.0,1.25e-05,True
6,0.5235987755982988,True,860000000.0,0.9568,M8,front,2,0.7652,5.2726,70.0,1.25e-05,True
7,0.5235987755982988,True,860000000.0,0.9678,M8,back,2,0.78,5.109,70.0,1.25e-05,True
8,0.5235987755982988,True,860000000.0,0.7434,FM0,front,2,0.3024,22.907,72.5,1.25e-05,True
9,0.5235987755982988,True,860000000.0,0.7476,FM0,back,2,0.3134,22.168,72.5,1.25e-05,True
10,0.5235987755982988,True,860000000.0,0.881,M2,front,2,0.5982,14.8982,72.5,1.25e-05,True
11,0.5235987755982988,True,860000000.0,0.894,M2,back,2,0.603,14.4744,72.5,1.25e-05,True
12,0.5235987755982988,True,860000000.0,0.9326,M4,front,2,0.7512,8.9638,72.5,1.25e-05,True
13,0.5235987755982988,True,860000000.0,0.9438,M4,back,2,0.7436,8.681,72.5,1.25e-05,True
14,0.5235987755982988,True,860000000.0,0.9586,M8,front,2,0.7678,5.1284,72.5,1.25e-05,True
15,0.5235987755982988,True,860000000.0,0.9584,M8,back,2,0.7484,4.9552,72.5,1.25e-05,True
16,0.5235987755982988,True,860000000.0,0.7422,FM0,front,2,0.3048,22.1388,75.0,1.25e-05,True
17,0.5235987755982988,True,860000000.0,0.7578,FM0,back,2,0.3186,21.5448,75.0,1.25e-05,True
18,0.5235987755982988,True,860000000.0,0.8902,M2,front,2,0.609,14.3428,75.0,1.25e-05,True
19,0.5235987755982988,True,860000000.0,0.905,M2,back,2,0.6134,14.0032,75.0,1.25e-05,True
20,0.5235987755982988,True,860000000.0,0.9334,M4,front,2,0.7448,8.6168,75.0,1.25e-05,True
21,0.5235987755982988,True,860000000.0,0.9476,M4,back,2,0.7454,8.4788,75.0,1.25e-05,True
22,0.5235987755982988,True,860000000.0,0.962,M8,front,2,0.7514,4.8812,75.0,1.25e-05,True
23,0.5235987755982988,True,860000000.0,0.9638,M8,back,2,0.763,4.8142,75.0,1.25e-05,True
24,0.5235987755982988,True,860000000.0,0.7392,FM0,front,2,0.3142,21.3328,77.5,1.25e-05,True
25,0.5235987755982988,True,860000000.0,0.7432,FM0,back,2,0.2966,20.6508,77.5,1.25e-05,True
26,0.5235987755982988,True,860000000.0,0.8774,M2,front,2,0.6086,13.9828,77.5,1.25e-05,True
27,0.5235987755982988,True,860000000.0,0.8892,M2,back,2,0.5852,13.5068,77.5,1.25e-05,True
28,0.5235987755982988,True,860000000.0,0.928,M4,front,2,0.7342,8.3962,77.5,1.25e-05,True
29,0.5235987755982988,True,860000000.0,0.942,M4,back,2,0.7442,8.1358,77.5,1.25e-05,True
30,0.5235987755982988,True,860000000.0,0.954,M8,front,2,0.7494,4.7706,77.5,1.25e-05,True
31,0.5235987755982988,True,860000000.0,0.9532,M8,back,2,0.73,4.6898,77.5,1.25e-05,True
32,0.5235987755982988,True,860000000.0,0.71,FM0,front,2,0.2722,21.1402,80.0,1.25e-05,True
33,0.5235987755982988,True,860000000.0,0.6884,FM0,back,2,0.2678,20.0526,80.0,1.25e-05,True
34,0.5235987755982988,True,860000000.0,0.8722,M2,front,2,0.5616,13.8384,80.0,1.25e-05,True
35,0.5235987755982988,True,860000000.0,0.8648,M2,back,2,0.5368,13.1176,80.0,1.25e-05,True
36,0.5235987755982988,True,860000000.0,0.9344,M4,front,2,0.7162,8.3862,80.0,1.25e-05,True
37,0.5235987755982988,True,860000000.0,0.9234,M4,back,2,0.692,7.9658,80.0,1.25e-05,True
38,0.5235987755982988,True,860000000.0,0.9492,M8,front,2,0.7138,4.7626,80.0,1.25e-05,True
39,0.5235987755982988,True,860000000.0,0.9488,M8,back,2,0.6754,4.604,80.0,1.25e-05,True
40,0.5235987755982988,True,860000000.0,0.654,FM0,front,2,0.223,20.7596,82.5,1.25e-05,True
41,0.5235987755982988,True,860000000.0,0.6978,FM0,back,2,0.2504,19.3092,82.5,1.25e-05,True
42,0.5235987755982988,True,860000000.0,0.8364,M2,front,2,0.4916,13.6392,82.5,1.25e-05,True
43,0.5235987755982988,True,860000000.0,0.8718,M2,back,2,0.5358,12.7114,82.5,1.25e-05,True
44,0.5235987755982988,True,860000000.0,0.9088,M4,front,2,0.6384,8.2124,82.5,1.25e-05,True
45,0.5235987755982988,True,860000000.0,0.9298,M4,back,2,0.6762,7.7874,82.5,1.25e-05,True
46,0.5235987755982988,True,860000000.0,0.9398,M8,front,2,0.6424,4.6516,82.5,1.25e-05,True
47,0.5235987755982988,True,860000000.0,0.9422,M8,back,2,0.6682,4.4682,82.5,1.25e-05,True
48,0.5235987755982988,True,860000000.0,0.6414,FM0,front,2,0.2124,19.7772,85.0,1.25e-05,True
49,0.5235987755982988,True,860000000.0,0.7302,FM0,back,2,0.278,18.8926,85.0,1.25e-05,True
50,0.5235987755982988,True,860000000.0,0.8294,M2,front,2,0.4938,12.9986,85.0,1.25e-05,True
51,0.5235987755982988,True,860000000.0,0.8782,M2,back,2,0.569,12.2884,85.0,1.25e-05,True
52,0.5235987755982988,True,860000000.0,0.8998,M4,front,2,0.644,7.9192,85.0,1.25e-05,True
53,0.5235987755982988,True,860000000.0,0.928,M4,back,2,0.7148,7.4698,85.0,1.25e-05,True
54,0.5235987755982988,True,860000000.0,0.9332,M8,front,2,0.6288,4.5614,85.0,1.25e-05,True
55,0.5235987755982988,True,860000000.0,0.9458,M8,back,2,0.7056,4.3772,85.0,1.25e-05,True
56,0.5235987755982988,True,860000000.0,0.6938,FM0,front,2,0.2622,18.7056,87.5,1.25e-05,True
57,0.5235987755982988,True,860000000.0,0.7196,FM0,back,2,0.2862,18.419,87.5,1.25e-05,True
58,0.5235987755982988,True,860000000.0,0.8582,M2,front,2,0.54,12.3144,87.5,1.25e-05,True
59,0.5235987755982988,True,860000000.0,0.8696,M2,back,2,0.5642,12.0978,87.5,1.25e-05,True
60,0.5235987755982988,True,860000000.0,0.9218,M4,front,2,0.6914,7.5356,87.5,1.25e-05,True
61,0.5235987755982988,True,860000000.0,0.9304,M4,back,2,0.7134,7.308,87.5,1.25e-05,True
62,0.5235987755982988,True,860000000.0,0.9504,M8,front,2,0.6662,4.3278,87.5,1.25e-05,True
63,0.5235987755982988,True,860000000.0,0.9404,M8,back,2,0.6984,4.227,87.5,1.25e-05,True
64,0.5235987755982988,True,860000000.0,0.9078,M4,front,2,0.6886,19.5914,70.0,6.25e-06,True
65,0.5235987755982988,True,860000000.0,0.9282,M4,back,2,0.7008,19.123,70.0,6.25e-06,True
66,0.5235987755982988,True,860000000.0,0.9452,M4,front,2,0.7528,6.196,70.0,1.875e-05,True
67,0.5235987755982988,True,860000000.0,0.9584,M4,back,2,0.757,6.052,70.0,1.875e-05,True
68,0.5235987755982988,True,860000000.0,0.9494,M4,front,2,0.7196,4.7458,70.0,2.5e-05,True
69,0.5235987755982988,True,860000000.0,0.9574,M4,back,2,0.7128,4.6542,70.0,2.5e-05,True
70,0.5235987755982988,True,860000000.0,0.9082,M4,front,2,0.6712,18.916,72.5,6.25e-06,True
