index,angle,doppler,frequency,inventory_prob,m,orientation,q,read_tid_prob,rounds_per_tag,speed,tari,trext
0,0.5235987755982988,True,860000000.0,0.7142,FM0,front,2,0.2826,17.925,90.0,1.25e-05,True
1,0.5235987755982988,True,860000000.0,0.701,FM0,back,2,0.2682,17.9906,90.0,1.25e-05,True
2,0.5235987755982988,True,860000000.0,0.8704,M2,front,2,0.562,11.8328,90.0,1.25e-05,True
3,0.5235987755982988,True,860000000.0,0.857,M2,back,2,0.5354,11.8136,90.0,1.25e-05,True
4,0.5235987755982988,True,860000000.0,0.9182,M4,front,2,0.6894,7.2414,90.0,1.25e-05,True
5,0.5235987755982988,True,860000000.0,0.924,M4,back,2,0.68,7.2306,90.0,1.25e-05,True
6,0.5235987755982988,True,860000000.0,0.9444,M8,front,2,0.6638,4.1852,90.0,1.25e-05,True
7,0.5235987755982988,True,860000000.0,0.9356,M8,back,2,0.661,4.18,90.0,1.25e-05,True
8,0.5235987755982988,True,860000000.0,0.7008,FM0,front,2,0.2606,17.3352,92.5,1.25e-05,True
9,0.5235987755982988,True,860000000.0,0.6968,FM0,back,2,0.252,17.3448,92.5,1.25e-05,True
10,0.5235987755982988,True,860000000.0,0.866,M2,front,2,0.5432,11.4996,92.5,1.25e-05,True
11,0.5235987755982988,True,860000000.0,0.8592,M2,back,2,0.527,11.3872,92.5,1.25e-05,True
12,0.5235987755982988,True,860000000.0,0.918,M4,front,2,0.6856,7.0046,92.5,1.25e-05,True
13,0.5235987755982988,True,860000000.0,0.9116,M4,back,2,0.6618,7.0352,92.5,1.25e-05,True
14,0.5235987755982988,True,860000000.0,0.9426,M8,front,2,0.6396,4.1142,92.5,1.25e-05,True
15,0.5235987755982988,True,860000000.0,0.926,M8,back,2,0.6342,4.0674,92.5,1.25e-05,True
16,0.5235987755982988,True,860000000.0,0.684,FM0,front,2,0.258,16.8682,95.0,1.25e-05,True
17,0.5235987755982988,True,860000000.0,0.6852,FM0,back,2,0.2456,16.913,95.0,1.25e-05,True
18,0.5235987755982988,True,860000000.0,0.8454,M2,front,2,0.521,11.0516,95.0,1.25e-05,True
19,0.5235987755982988,True,860000000.0,0.846,M2,back,2,0.521,11.0614,95.0,1.25e-05,True
20,0.5235987755982988,True,860000000.0,0.9162,M4,front,2,0.6702,6.8508,95.0,1.25e-05,True
21,0.5235987755982988,True,860000000.0,0.9156,M4,back,2,0.6534,6.8156,95.0,1.25e-05,True
22,0.5235987755982988,True,860000000.0,0.9396,M8,front,2,0.6352,4.009,95.0,1.25e-05,True
23,0.5235987755982988,True,860000000.0,0.926,M8,back,2,0.6268,3.9856,95.0,1.25e-05,True
24,0.5235987755982988,True,860000000.0,0.6884,FM0,front,2,0.2662,16.3746,97.5,1.25e-05,True
25,0.5235987755982988,True,860000000.0,0.6754,FM0,back,2,0.2412,16.3362,97.5,1.25e-05,True
26,0.5235987755982988,True,860000000.0,0.845,M2,front,2,0.535,10.8064,97.5,1.25e-05,True
27,0.5235987755982988,True,860000000.0,0.846,M2,back,2,0.5158,10.8542,97.5,1.25e-05,True
28,0.5235987755982988,True,860000000.0,0.9094,M4,front,2,0.6648,6.6528,97.5,1.25e-05,True
29,0.5235987755982988,True,860000000.0,0.9088,M4,back,2,0.6422,6.6462,97.5,1.25e-05,True
30,0.5235987755982988,True,860000000.0,0.9318,M8,front,2,0.6268,3.8888,97.5,1.25e-05,True
31,0.5235987755982988,True,860000000.0,0.9236,M8,back,2,0.6134,3.91,97.5,1.25e-05,True
32,0.5235987755982988,True,860000000.0,0.6676,FM0,front,2,0.2586,15.9304,100.0,1.25e-05,True
33,0.5235987755982988,True,860000000.0,0.6626,FM0,back,2,0.2244,15.995,100.0,1.25e-05,True
34,0.5235987755982988,True,860000000.0,0.835,M2,front,2,0.5196,10.5618,100.0,1.25e-05,True
35,0.5235987755982988,True,860000000.0,0.8422,M2,back,2,0.4966,10.586,100.0,1.25e-05,True
36,0.5235987755982988,True,860000000.0,0.8966,M4,front,2,0.6456,6.4446,100.0,1.25e-05,True
37,0.5235987755982988,True,860000000.0,0.9084,M4,back,2,0.6392,6.5598,100.0,1.25e-05,True
38,0.5235987755982988,True,860000000.0,0.934,M8,front,2,0.6004,3.7918,100.0,1.25e-05,True
39,0.5235987755982988,True,860000000.0,0.9224,M8,back,2,0.6096,3.808,100.0,1.25e-05,True
40,0.5235987755982988,True,860000000.0,0.647,FM0,front,2,0.242,15.496,102.5,1.25e-05,True
41,0.5235987755982988,True,860000000.0,0.6606,FM0,back,2,0.2306,15.5302,102.5,1.25e-05,True
42,0.5235987755982988,True,860000000.0,0.8192,M2,front,2,0.501,10.2326,102.5,1.25e-05,True
43,0.5235987755982988,True,860000000.0,0.8306,M2,back,2,0.4846,10.2694,102.5,1.25e-05,True
44,0.5235987755982988,True,860000000.0,0.8916,M4,front,2,0.6326,6.324,102.5,1.25e-05,True
45,0.5235987755982988,True,860000000.0,0.902,M4,back,2,0.6214,6.3064,102.5,1.25e-05,True
46,0.5235987755982988,True,860000000.0,0.9198,M8,front,2,0.5808,3.7292,102.5,1.25e-05,True
47,0.5235987755982988,True,860000000.0,0.9214,M8,back,2,0.5876,3.748,102.5,1.25e-05,True
48,0.5235987755982988,True,860000000.0,0.6474,FM0,front,2,0.2364,15.0796,105.0,1.25e-05,True
49,0.5235987755982988,True,860000000.0,0.623,FM0,back,2,0.2304,14.9382,105.0,1.25e-05,True
50,0.5235987755982988,True,860000000.0,0.8078,M2,front,2,0.4966,9.963,105.0,1.25e-05,True
51,0.5235987755982988,True,860000000.0,0.8152,M2,back,2,0.48,9.9404,105.0,1.25e-05,True
52,0.5235987755982988,True,860000000.0,0.8906,M4,front,2,0.6122,6.142,105.0,1.25e-05,True
53,0.5235987755982988,True,860000000.0,0.8834,M4,back,2,0.6006,6.1826,105.0,1.25e-05,True
54,0.5235987755982988,True,860000000.0,0.9126,M8,front,2,0.5656,3.665,105.0,1.25e-05,True
55,0.5235987755982988,True,860000000.0,0.9088,M8,back,2,0.5662,3.647,105.0,1.25e-05,True
56,0.5235987755982988,True,860000000.0,0.6276,FM0,front,2,0.2196,14.7682,107.5,1.25e-05,True
57,0.5235987755982988,True,860000000.0,0.6302,FM0,back,2,0.2258,14.6136,107.5,1.25e-05,True
58,0.5235987755982988,True,860000000.0,0.807,M2,front,2,0.4818,9.6626,107.5,1.25e-05,True
59,0.5235987755982988,True,860000000.0,0.8074,M2,back,2,0.4688,9.6432,107.5,1.25e-05,True
60,0.5235987755982988,True,860000000.0,0.871,M4,front,2,0.5996,6.0836,107.5,1.25e-05,True
61,0.5235987755982988,True,860000000.0,0.8776,M4,back,2,0.5906,6.0174,107.5,1.25e-05,True
62,0.5235987755982988,True,860000000.0,0.9036,M8,front,2,0.5572,3.5948,107.5,1.25e-05,True
63,0.5235987755982988,True,860000000.0,0.9008,M8,back,2,0.5386,3.582,107.5,1.25e-05,True
64,0.5235987755982988,True,860000000.0,0.8936,M4,front,2,0.6298,14.849,90.0,6.25e-06,True
65,0.5235987755982988,True,860000000.0,0.8982,M4,back,2,0.6328,14.7758,90.0,6.25e-06,True
66,0.5235987755982988,True,860000000.0,0.9264,M4,front,2,0.6492,4.9352,90.0,1.875e-05,True
67,0.5235987755982988,True,860000000.0,0.9264,M4,back,2,0.6374,4.8864,90.0,1.875e-05,True
68,0.5235987755982988,True,860000000.0,0.9288,M4,front,2,0.5966,3.7914,90.0,2.5e-05,True
69,0.5235987755982988,True,860000000.0,0.926,M4,back,2,0.5934,3.7772,90.0,2.5e-05,True
70,0.5235987755982988,True,860000000.0,0.8982,M4,front,2,0.6344,14.4596,92.5,6.25e-06,True
71,0.5235987755982988,True,860000000.0,0.888,M4,back,2,0.6182,14.4784,92.5,6.25e-06,True
